workload summary | sessions=25 steps=125 max_prompt_len=86239 max_prefix_len=67190 max_input_len=28766 max_output_len=6381 total_output_len=78138 max_arrival_time_ms=0.000 total_tool_wait_after_ms=1492867.000
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=0.5s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=1.0s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=1.5s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=2.0s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=2.5s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=3.0s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=3.5s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=4.0s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=4.5s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=5.0s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=5.5s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=6.0s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=6.5s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=7.0s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=7.5s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=8.0s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=8.5s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=9.0s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=9.5s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=10.0s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=10.5s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=11.0s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=11.5s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=12.0s
sessions 0/25 | steps 0/125 completed=0 submitted=8 active=8 failed=0 | elapsed=12.5s
